id,food_code,component,unity,value
403,BRC0059B,Vitamina B12,mcg,0.00
404,BRC0059B,Vitamina C,mg,7.46
405,BRC0059B,Equivalente de folato,mcg,8.94
406,BRC0059B,Sal de adição,g,0.00
407,BRC0059B,Açúcar de adição,g,0.00
408,BRC0059B,Gordura de adição,g,0.00
409,BRC0059B,Proteína vegetal,g,1.44
410,BRC0059B,Proteína animal,g,0.00
411,BRC0002B,Energia,kJ,172.00
412,BRC0002B,Energia,kcal,41.00
413,BRC0002B,Umidade,g,88.50
414,BRC0002B,Carboidrato total,g,8.36
415,BRC0002B,Carboidrato disponível,g,6.19
416,BRC0002B,Proteína,g,1.75
417,BRC0002B,Lipídios,g,0.54
418,BRC0002B,Fibra alimentar,g,2.17
419,BRC0002B,Álcool,g,0.00
420,BRC0002B,Cinzas,g,0.84
421,BRC0002B,Colesterol,mg,0.00
422,BRC0002B,Ácidos graxos saturados,g,0.12
423,BRC0002B,Ácidos graxos monoinsaturados,g,0.08
424,BRC0002B,Ácidos graxos poliinsaturados,g,0.05
425,BRC0002B,Ácidos graxos trans,g,0.00
426,BRC0002B,Cálcio,mg,18.00
427,BRC0002B,Ferro,mg,0.37
428,BRC0002B,Sódio,mg,0.00
429,BRC0002B,Magnésio,mg,8.82
430,BRC0002B,Fósforo,mg,25.80
431,BRC0002B,Potássio,mg,350.00
432,BRC0002B,Manganês,mg,0.11
433,BRC0002B,Zinco,mg,0.32
434,BRC0002B,Cobre,mg,0.06
435,BRC0002B,Selênio,mcg,1.10
436,BRC0002B,Vitamina A (RE),mcg,508.00
437,BRC0002B,Vitamina A (RAE),mcg,254.00
438,BRC0002B,Vitamina D,mcg,0.00
439,BRC0002B,Alfa-tocoferol (Vitamina E),mg,5.72
440,BRC0002B,Tiamina,mg,0.00
441,BRC0002B,Riboflavina,mg,0.00
442,BRC0002B,Niacina,mg,0.00
443,BRC0002B,Vitamina B6,mg,0.10
444,BRC0002B,Vitamina B12,mcg,0.00
445,BRC0002B,Vitamina C,mg,5.09
446,BRC0002B,Equivalente de folato,mcg,21.90
447,BRC0002B,Sal de adição,g,0.00
448,BRC0002B,Açúcar de adição,g,0.00
449,BRC0002B,Gordura de adição,g,0.00
450,BRC0002B,Proteína vegetal,g,1.75
451,BRC0002B,Proteína animal,g,0.00
452,BRC0003B,Energia,kJ,57.00
453,BRC0003B,Energia,kcal,13.00
454,BRC0003B,Umidade,g,95.70
455,BRC0003B,Carboidrato total,g,3.34
456,BRC0003B,Carboidrato disponível,g,2.17
457,BRC0003B,Proteína,g,0.61
458,BRC0003B,Lipídios,g,0.00
459,BRC0003B,Fibra alimentar,g,1.17
460,BRC0003B,Álcool,g,0.00
461,BRC0003B,Cinzas,g,0.36
462,BRC0003B,Colesterol,mg,0.00
463,BRC0003B,Ácidos graxos saturados,g,0.00
464,BRC0003B,Ácidos graxos monoinsaturados,g,0.00
465,BRC0003B,Ácidos graxos poliinsaturados,g,0.00
466,BRC0003B,Ácidos graxos trans,g,0.00
467,BRC0003B,Cálcio,mg,8.74
468,BRC0003B,Ferro,mg,0.15
469,BRC0003B,Sódio,mg,0.00
470,BRC0003B,Magnésio,mg,4.09
471,BRC0003B,Fósforo,mg,11.60
472,BRC0003B,Potássio,mg,164.00
473,BRC0003B,Manganês,mg,0.01
474,BRC0003B,Zinco,mg,0.00
475,BRC0003B,Cobre,mg,0.02
476,BRC0003B,Selênio,mcg,1.10
477,BRC0003B,Vitamina A (RE),mcg,1335.00
478,BRC0003B,Vitamina A (RAE),mcg,667.00
479,BRC0003B,Vitamina D,mcg,0.00
480,BRC0003B,Alfa-tocoferol (Vitamina E),mg,0.04
481,BRC0003B,Tiamina,mg,0.07
482,BRC0003B,Riboflavina,mg,0.00
483,BRC0003B,Niacina,mg,0.00
484,BRC0003B,Vitamina B6,mg,0.04
485,BRC0003B,Vitamina B12,mcg,0.00
486,BRC0003B,Vitamina C,mg,1.50
487,BRC0003B,Equivalente de folato,mcg,8.21
488,BRC0003B,Sal de adição,g,0.00
489,BRC0003B,Açúcar de adição,g,0.00
490,BRC0003B,Gordura de adição,g,0.00
491,BRC0003B,Proteína vegetal,g,0.61
492,BRC0003B,Proteína animal,g,0.00
493,BRC0151B,Energia,kJ,124.00
494,BRC0151B,Energia,kcal,30.00
495,BRC0151B,Umidade,g,92.50
496,BRC0151B,Carboidrato total,g,5.98
497,BRC0151B,Carboidrato disponível,g,4.44
498,BRC0151B,Proteína,g,0.39
499,BRC0151B,Lipídios,g,0.80
500,BRC0151B,Fibra alimentar,g,1.55
501,BRC0151B,Álcool,g,0.00
502,BRC0151B,Cinzas,g,0.37
503,BRC0151B,Colesterol,mg,0.00
504,BRC0151B,Ácidos graxos saturados,g,0.12
505,BRC0151B,Ácidos graxos monoinsaturados,g,0.19
506,BRC0151B,Ácidos graxos poliinsaturados,g,0.45
507,BRC0151B,Ácidos graxos trans,g,0.00
508,BRC0151B,Cálcio,mg,19.20
509,BRC0151B,Ferro,mg,0.11
510,BRC0151B,Sódio,mg,130.00
511,BRC0151B,Magnésio,mg,7.50
512,BRC0151B,Fósforo,mg,11.70
513,BRC0151B,Potássio,mg,183.00
514,BRC0151B,Manganês,mg,0.02
515,BRC0151B,Zinco,mg,0.08
516,BRC0151B,Cobre,mg,0.04
517,BRC0151B,Selênio,mcg,1.07
518,BRC0151B,Vitamina A (RE),mcg,95.30
519,BRC0151B,Vitamina A (RAE),mcg,47.70
520,BRC0151B,Vitamina D,mcg,0.00
521,BRC0151B,Alfa-tocoferol (Vitamina E),mg,1.51
522,BRC0151B,Tiamina,mg,0.05
523,BRC0151B,Riboflavina,mg,0.00
524,BRC0151B,Niacina,mg,0.00
525,BRC0151B,Vitamina B6,mg,0.05
526,BRC0151B,Vitamina B12,mcg,0.00
527,BRC0151B,Vitamina C,mg,6.73
528,BRC0151B,Equivalente de folato,mcg,8.45
529,BRC0151B,Sal de adição,g,0.32
530,BRC0151B,Açúcar de adição,g,0.00
531,BRC0151B,Gordura de adição,g,0.00
532,BRC0151B,Proteína vegetal,g,0.00
533,BRC0151B,Proteína animal,g,0.00
534,BRC0101B,Energia,kJ,124.00
535,BRC0101B,Energia,kcal,30.00
536,BRC0101B,Umidade,g,92.50
537,BRC0101B,Carboidrato total,g,5.98
538,BRC0101B,Carboidrato disponível,g,4.44
539,BRC0101B,Proteína,g,0.39
540,BRC0101B,Lipídios,g,0.80
541,BRC0101B,Fibra alimentar,g,1.55
542,BRC0101B,Álcool,g,0.00
543,BRC0101B,Cinzas,g,0.37
544,BRC0101B,Colesterol,mg,0.00
545,BRC0101B,Ácidos graxos saturados,g,0.12
546,BRC0101B,Ácidos graxos monoinsaturados,g,0.19
547,BRC0101B,Ácidos graxos poliinsaturados,g,0.45
548,BRC0101B,Ácidos graxos trans,g,0.00
549,BRC0101B,Cálcio,mg,19.10
550,BRC0101B,Ferro,mg,0.11
551,BRC0101B,Sódio,mg,3.03
552,BRC0101B,Magnésio,mg,7.49
553,BRC0101B,Fósforo,mg,11.70
554,BRC0101B,Potássio,mg,183.00
555,BRC0101B,Manganês,mg,0.02
556,BRC0101B,Zinco,mg,0.08
557,BRC0101B,Cobre,mg,0.04
558,BRC0101B,Selênio,mcg,1.07
559,BRC0101B,Vitamina A (RE),mcg,95.30
560,BRC0101B,Vitamina A (RAE),mcg,47.70
561,BRC0101B,Vitamina D,mcg,0.00
562,BRC0101B,Alfa-tocoferol (Vitamina E),mg,1.51
563,BRC0101B,Tiamina,mg,0.05
564,BRC0101B,Riboflavina,mg,0.00
565,BRC0101B,Niacina,mg,0.00
566,BRC0101B,Vitamina B6,mg,0.05
567,BRC0101B,Vitamina B12,mcg,0.00
568,BRC0101B,Vitamina C,mg,6.73
569,BRC0101B,Equivalente de folato,mcg,8.45
570,BRC0101B,Sal de adição,g,0.00
571,BRC0101B,Açúcar de adição,g,0.00
572,BRC0101B,Gordura de adição,g,0.00
573,BRC0101B,Proteína vegetal,g,0.00
574,BRC0101B,Proteína animal,g,0.00
575,BRC0270B,Energia,kJ,131.00
576,BRC0270B,Energia,kcal,32.00
577,BRC0270B,Umidade,g,91.20
578,BRC0270B,Carboidrato total,g,4.78
579,BRC0270B,Carboidrato disponível,g,2.28
580,BRC0270B,Proteína,g,1.38
